Nom de l'offre d'activité touristique;Type détaillé d'activité;Adresse partie 1: Porte/escalier;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Commune de l'activité;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;Emplacement géographique;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Type de plateforme/url;Services proposés sur l'équipement de loisir;Equipements présents sur le site de loisir;Animal accepté: oui / non;Complément information animal accepté;Labels;Label tourisme handicap;Groupe accepté: oui / non;Catégorie de la prestation fournie;Type formule itinérante;Activité sportive proposée;Type activité culturelle proposée;Langues parlées à l'accueil;Langues des audio guides;Visites libres proposées aux individuels en permanence: oui / non;Durée de visite pour les individuels;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langues des panneaux d'info;Langues parlées;Complément d'info sur les visites;Visites guidées proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Durée de visite pour les groupes;Lieux de pratique de l'activité de loisirs;Commune de départ de la formule itinérante;Commune d'arrivée de la formule itinérante;Ouverture de l'offre toute l'année: oui / non;Horaires d'ouvertures;ResaDirecte;Centrale de réservation en ligne: oui / non;Nom centrale de réservation en ligne: url réservation en ligne / téléphone centrale / mail centrale;Tarifs;Tarif gratuit : oui / non;Modes de paiement acceptés;localisation;Département
LA TRANSVAP;Trains touristiques;La Gare - Route de Montfort le Gesnois;;;;72160;BEILLE;;72031;48.0753736;0.48730995;Route (nationale/départ.)||D323||2##Gare SNCF||CONNERRE - BEILLE||0;;;02 43 89 00 37;;contact@transvap.fr;http://www.transvap.fr/;Facebook||https://www.facebook.com/transvap72?fref=ts;;Aire de pique nique##Salle de réunion équipée##Toilettes;oui;chiens et chats;;;oui;;;;;Français;;oui;;non;non;Français;Français;;oui;oui;oui;oui;00:45;;;;oui;;||02 43 89 00 37||contact@transvap.fr;;;;non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances;48.0753736,0.48730995;Sarthe
LABYRINTHE DE MAÏS AUX JARDINS DES RENAUDIES;Activités sportives et ludiques;;;Les Mézerais;;53120;COLOMBIERS-DU-PLESSIS;;53071;48.3751235;-0.8679132;Aéroport/aérodrome||Aéroport de Rennes||91##Autoroute||A84- Fougères||32##Autoroute||A81 - Laval||40##Gare routière||Mayenne||22##Gare SNCF||Laval||45##Route (nationale/départ.)||D5014 - Colombiers du Plessis / Les Méze||0,2##Route (nationale/départ.)||D107 - Gorron / Ernée||3##Transport en commun||Gorron||6;En extérieur soleil;;02 43 08 02 08;;contact@jardinsdesrenaudies.fr;www.jardinsdesrenaudies.fr;Facebook||https://www.facebook.com/LesJardinsdesRenaudies/?fref=ts##Instagram||;;;oui;Tenus en laisse;;;oui;Pratique libre;;;;Anglais##Français;;;;;;;;;;;;;;Les Jardins des Renaudies à Colombiers du Plessis;COLOMBIERS DU PLESSIS;COLOMBIERS DU PLESSIS;non;14/07/2022||31/08/2022||Ouverts les jours fériés||||||||14:00||18:00||11:00||||||18:00||11:00||||||18:00||11:00||||||18:00||11:00||||||18:00||11:00||||||18:00||11:00||||||18:00##01/09/2022||09/10/2022||||||||||||||||||||||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00;;;;"Tarif indiv. adulte||6,00||||Labyrinthe inclut dans le prix d'entrée des jardins.;Adultes 6€;;##Tarif indiv. enfant||0,00||3,00||6-16 ans 3€;- 6 ans gratuit##Tarif indiv. réduit||||||May'N Pass, CNAS, Carte cezam";non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces;48.3751235,-0.8679132;Mayenne
LABYRINTHE VÉGÉTAL - BONNÉTABLE;Activités sportives et ludiques;;;Rue de la Prairie;;72110;BONNETABLE;;72039;48.1777081;0.43188274;;;;02 43 29 30 20;;;;;;;;;;;;Pratique libre;;Labyrinthe;;;;;;;;;;;;;;;;;BONNETABLE;BONNETABLE;oui;;;;;;oui;;48.1777081,0.43188274;Sarthe
LAC DES VALLÉES À VIEILLEVIGNE;Aire de pique-nique##Jeux pour enfants##Lac et étang de pêche;;;rue de Trianon;;44116;VIEILLEVIGNE;;44216;46.9651152;-1.4329674;;;;02 40 26 50 21;;mairie@vieillevigne44.com;http://www.vieillevigne44.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.9651152,-1.4329674;Loire-Atlantique
LACS ET BASE DE LOISIRS DE LA MONNERIE;Base de loisirs##Base ou club nautique##Bateaux promenade##Cale de mise à l'eau##Jeux pour enfants##Lac et étang de pêche##Plage surveillée;;;La Monnerie;;72200;LA FLECHE;;72154;47.7011599;-0.0515464;Route (nationale/départ.)||RD323||0##Autoroute||A11 (Durtal)||16##Autoroute||A11 (Le Bailleul)||16##Aéroport/aérodrome||Angers Loire aéroport||32##Aéroport/aérodrome||Le Mans||44##Gare routière||La Flèche||1,6##Gare SNCF||Le Mans||45;En extérieur soleil;;02 43 48 98 89;02.43.94.33.78;;http://www.ville-lafleche.fr;;Espace jeux##Location/prêt de vélo;Aire de pique nique##Bar##Toilettes;oui;tenus en laisse;;;oui;;;;;Français;;;;;;Français;;;;;;;;;;;oui;;;;;;oui;;47.7011599,-0.0515464;Sarthe
LE CANOTIER;Salle de spectacle;;;10 Avenue des Frères Lumières;Parc d'Activités de la Guerche;44250;SAINT-BREVIN-LES-PINS;;44154;47.2420662;-2.1576705;;;;02 52 80 00 75;;contact@le-canotier.net;http://www.le-canotier.net;;;;non;Animaux non admis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cartes bancaires##Chèques bancaires et postaux##Espèces;47.2420662,-2.1576705;Loire-Atlantique
LE CARROUSEL BAULOIS;Jeux pour enfants;;;Esplanade François André;;44500;LA BAULE-ESCOUBLAC;;44055;47.28119;-2.40421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Espèces;47.28119,-2.40421;Loire-Atlantique
LE CHANTILLY;Bar à thème;;;117 Rue de Trignac;;44600;SAINT-NAZAIRE;;44184;47.2962556;-2.1891829;Transport en commun||Ligne Hélyce - Arrêt Halles de Penhoët||0,17##Transport en commun||Ligne U3 - Arrêt Halles de Penhoët||0,17;;06 19 64 14 79;02 40 66 04 50;;contact@mqmp.fr;;;;Bar;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||Ouvert du lundi au vendredi||Fermé le samedi et dimanche||||||17:00||19:00||||||17:00||19:00||||||17:00||19:00||||||17:00||19:00||||||17:00||19:00||||||||||||||||;;;;;;;47.2962556,-2.1891829;Loire-Atlantique
LE DOMAINE DES ÉCUYERS;Centre équestre##Halte équestre;;;232 chemin de la petite Foucherie;;53600;STE GEMMES LE ROBERT;;53218;48.2051819;-0.3742235;Gare SNCF||LAVAL||37##Gare SNCF||Evron||6##Route (nationale/départ.)||||0##Aéroport/aérodrome||Rennes||190##Autoroute||sortie N°2 Vaiges||22;En extérieur ombragé##En extérieur soleil;06 98 03 77 14;;;contact@domaine-ecuyer.com;http://www.domaine-ecuyer.com/;Facebook||https://www.facebook.com/domainedesecuyers?ref=hl##Instagram||https://www.instagram.com/domainedesecuyers/;;Aire de pique nique##Salle de réunion équipée##Toilettes;non;;;;oui;;;;;Anglais##Espagnol##Français;;non;;non;oui;Français;Français##Anglais##Espagnol;;non;oui;non;oui;;;;;oui;||||Sur réservation||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Mme Macret||06 98 03 77 14||contact@domaine-ecuyer.com;;;Tarif indiv. adulte||30,00||||balade 30 € de l'heure par personne##Tarif indiv. enfant||||||ne prend pas les enfants de moins de 13 ans (pas de poneys)##Tarif indiv. adulte||40,00||||cours particulier ##Tarif indiv. adulte||50,00||||Cours initiation monte en amazone;non;Chèques bancaires et postaux##Espèces##Virement;48.2051819,-0.3742235;Mayenne
LE DÔME DU BIEN-ÊTRE;Balnéothérapie et Spa;;;1 route de Marsac;;44170;VAY;;44214;47.5548927;-1.70114;;;;06 62 93 55 52;;contact@domedubienetre.com;http://www.domedubienetre.com/;;;Prise électrique##Toilettes;non;;;;non;;;;;Français;;;;;;;;;;;;;;;;;oui;;;;;;non;Chèques bancaires et postaux##Chèques Vacances##Espèces;47.5548927,-1.70114;Loire-Atlantique
LE GOÛT DES VINS;;;;10 rue Botanique;;49100;ANGERS;;49007;47.47402;-0.5475;;;;;;legoutdesvins@gmail.com;http://facebook.com/legoutdesvins;;;;;;;;;;;;;Anglais##Français;;;;;;;;;;;;;;;;;;01/01/2020||31/12/2020||||||||||||||09:00||13:00||14:30||19:00||10:00||13:00||14:30||19:00||10:00||13:00||14:30||19:00||10:00||19:00||||||10:00||19:00||||||||||||;;;;;;Cartes bancaires##Espèces;47.47402,-0.5475;Maine-et-Loire
LE GRAND BI;Loueur de vélos##Réparateur de vélos;;;51, quai Mayaud;;49400;SAUMUR;;49328;47.25898;-0.07291;;;;02 41 38 94 06;;contact@legrand-bi.fr;https://www.legrand-bi.fr/;Facebook||https://www.facebook.com/Le-Grand-Bi-107502921570405;Location/prêt de vélo;;;;;;oui;;;;;Anglais##Français;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||Ces horaires peuvent variés durant la période estivale de juin à septembre.||||09:30||12:00||14:00||18:00||09:30||12:00||14:00||18:00||09:30||12:00||14:00||18:00||09:30||12:00||14:00||18:00||09:30||12:00||14:00||18:00||09:30||12:00||14:00||18:00||09:30||12:00||14:00||18:00;;;;Tarif indiv. adulte||14,00||35,00||Tarif demi-journée, tarif à la journée. Dégressif selon la durée. Vélo à assistance électrique : 35 € la journée, jour supplémentaire : 25 €;;Cartes bancaires##Chèques bancaires et postaux##Espèces##Virement;47.25898,-0.07291;Maine-et-Loire
LE KIOSQUE;Salle de spectacle;7 place Juhel;;;;53100;MAYENNE;;53147;48.3061239;-0.620935;;;;02 43 30 10 16;;contact@kiosque-mayenne.org;http://www.kiosque-mayenne.org/;Facebook||https://www.facebook.com/lekiosquemayenne/?tn-str=k*F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.3061239,-0.620935;Mayenne
LE LANDREAU EQUITATION;Centre équestre;Le Landreau;;;;44310;SAINT-PHILBERT-DE-GRAND-LIEU;;44188;47.00822;-1.6963;Aéroport/aérodrome||Nantes Atlantique ||20;;;07 80 35 36 16;;lelandreau.equitation@yahoo.fr;https://www.landreauequitation.fr/#accueil;Facebook||https://www.facebook.com/www.lelandreau.equitation/;;Aire de pique nique##Prise électrique##Toilettes;oui;;;;oui;;;;;Anglais##Français;;;;;;Français;;;;;;;;;;;oui;||||ouvert le mercredi, vendredi et samedi ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Ferme équestre du Landreau||07 80 35 36 16||lelandreau.equitation@yahoo.fr;;;;oui;Chèques bancaires et postaux##Chèques Vacances##Espèces##Virement;47.00822,-1.6963;Loire-Atlantique
LE MANÈGE DE MICKEY (ANCIENNEMENT LA BAULE PARK);Jeux pour enfants;;;Place de la victoire;;44500;LA BAULE-ESCOUBLAC;;44055;47.28255;-2.39324;;;06 64 64 94 45;;;manege.mickey.labaule@gmail.com;https://www.mickeylabaule.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2020||31/12/2020||Hors vacances scolaires||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/01/2021||31/12/2021||Ouverture vacances scolaires, jours fériés et grandes vacances très largement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.28255,-2.39324;Loire-Atlantique
LE PAPILLONNEUR AVEC QUAI VERT;Formules itinérantes;;;Route des Carris;Le Migron;44320;FROSSAY;;44061;47.25847;-1.91553;;;;02 28 53 51 62;;contact@quai-vert.com;http://www.quai-vert.com/activites.html;;;;non;Animaux non admis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cartes bancaires##Chèques bancaires et postaux##Espèces;47.25847,-1.91553;Loire-Atlantique
LE PETIT TRAIN TOURISTIQUE;;;;Place Kennedy;Centre historique;49100;ANGERS;;49007;47.47842;-0.56317;;;06 63 18 45 68;;;resa.tga@gmail.com;http://www.petits-trains-val-de-loire.fr/visiter-angers/;;;;;;;;oui;;;;;Allemand##Anglais##Espagnol##Français##Italien;;;;;;;;;;;;;;;;;;01/04/2022||30/04/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/05/2022||30/06/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/07/2022||31/08/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/09/2022||30/09/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/10/2022||31/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Chèques bancaires et postaux##Chèques Vacances##Espèces;47.47842,-0.56317;Maine-et-Loire
LE SPOT INDOOR - LE MANS;Skatepark;;Skatepark Indoor;Rue Louis Harel de la Noë;;72000;LE MANS;;72181;48.0166725;0.14957033;Autoroute||A11||2;;;02 43 14 58 70;;skateparklespot@hotmail.fr;www.lespot.fr;Facebook||http://facebook.com/skatepark.lespot##Twitter||https://twitter.com/LeSpotSkatepark##Instagram||http://instagram.com/skateparklespot;;;non;;;;oui;;;;;;;;;;;;;;;;;;;;;;oui;||||Hors période de vacances||||||||||||||||||||||||13:30||17:00||||||18:00||21:30||||||18:00||21:30||||||14:00||19:00||||||14:00||18:00##||||Pendant les vacances scolaires.||Pour la période estivale, merci de nous contacter.||||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||||14:00||17:30||||||14:00||17:30||||||14:00||19:00||||||14:00||18:00;;;;Tarif indiv. enfant||||||Entrée. 10 entrées pour 38 euros.##Tarif indiv. enfant||||||Location skate ou roller##Tarif indiv. enfant||||||Location casque##Tarif indiv. enfant||||||Entrée + casque##Tarif indiv. enfant||||||Entrée + skate ou roller##Tarif indiv. enfant||||||Entrée + casque + skate ou roller##Tarif indiv. enfant||||||Pass annuel##Tarif indiv. enfant||||||Pass trimestre;non;Cartes bancaires##Chèques bancaires et postaux;48.0166725,0.14957033;Sarthe
LE TOUT VA BIEN;Bar à thème;;;3 rue Georges Clemenceau;;44760;LA BERNERIE-EN-RETZ;;44012;47.08034;-2.03756;;;06 72 01 27 37;02 51 18 23 83;;les.laigles@orange.fr;;;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.08034,-2.03756;Loire-Atlantique
LE YAGGA;Base ou club nautique;;;Face au 180 boulevard des Océanides;;44380;PORNICHET;;44132;47.27227;-2.35513;;;;02 40 61 59 30;;contact@yagga.fr;https://www.yagga-voile-pornichet.com;;;Parking;oui;;Ecole française de Voile;;;;;;;Anglais##Espagnol;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Chèques bancaires et postaux##Chèques Vacances##Espèces##Virement;47.27227,-2.35513;Loire-Atlantique
LEROUX MAGALI SOPHROLOGUE;;;;1 la Brionnière;;44160;CROSSAC;;44050;47.40735;-2.13805;;;06 77 13 02 81;;;magali.leroux@orange.fr;http://magalileroux.wixsite.com/sophrologie44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.40735,-2.13805;Loire-Atlantique
LES AMATEURS DU CHEVAL BRETON;Calèche;;;;;44530;GUENROUET;;44068;47.51943;-1.95527;;;06 64 69 96 48;02 40 66 32 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.51943,-1.95527;Loire-Atlantique
LES CANALOUS - LOCATION DE BATEAUX HABITABLES;Base ou club nautique;;;;Le Port, Chenillé-Changé;49220;CHENILLE-CHAMPTEUSSE;;49067;47.7009721;-0.667215;;;06 60 49 78 30;;;chenille@lescanalous.com;http://www.canalous-plaisance.fr;Facebook||https://www.facebook.com/lescanalous/##Twitter||https://twitter.com/lescanalous##Instagram||https://www.instagram.com/les_canalous/##Pinterest||https://www.pinterest.fr/lescanalous/;Location/prêt de vélo;;oui;Payant;;;oui;;;;;Allemand##Anglais##Espagnol##Français##Italien##Néerlandais##Russe;;;;;;;Français;;;;;;;;;;non;19/03/2022||30/10/2022||Navigation soumise aux niveaux des rivières||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Les Canalous - Base de Chenillé-Changé||03 85 53 76 74||commercial@lescanalous.fr;;;;;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Virement;47.7009721,-0.667215;Maine-et-Loire
LES MERCREDIS ET DIMANCHES MATIN SUR L’EAU;Activités sportives et ludiques;;;Cale de la Savatte;;49000;ANGERS;;49007;47.4719183;-0.5632272;;;07 78 69 46 57;;;clarisse@locactivites.com;https://www.locactivites.com;Facebook||https://www.facebook.com/plaisance49;;;oui;;;;;Pratique libre;;Bateau électrique;;Français;;;;;;;;;;;;;;Départ de la balade sur le port d’Angers, Cale de la Savatte. Découverte des Basses vallées angevines.;ANGERS;ANGERS;non;;||07 78 69 46 57||clarisse@locactivites.com;;;"Tarif indiv. adulte||||||30€ pour 1 heure par bateau (6 places). 180€ pour 7 heures par bateau.##Formule famille||||||25€ par famille pour une heure, par  bateau (6 places);160€ pour 7 heures par bateau##Tarif groupe adulte||||||30€ pour 1 heure par bateau (6 places);180€ pour 7 heures par bateau";;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces;47.4719183,-0.5632272;Maine-et-Loire
LES PASSAGERS DE BULLOPS';Base ou club nautique##Bateaux promenade;;;Quai de Vétille;;44240;SUCE-SUR-ERDRE;;44201;47.3389672;-1.5261032;;;06 45 64 54 36;;;lespassagersdebullops@gmail.com;https://www.lespassagersdebullops.com/;Facebook||https://www.facebook.com/lespassagersdebullops/##Instagram||https://www.instagram.com/lespassagersdebullops/;;Aire de pique nique;;;Balades & Randos nautiques##Famille Plus;;oui;;;;;;;;;;;;Français;;;oui;oui;oui;7 h;;;;;;;;;;non;Chèques bancaires et postaux##Chèques Vacances##Espèces;47.3389672,-1.5261032;Loire-Atlantique
LES ROBINS DES VAGUES;Base ou club nautique;;;2 rue René Cassin;;44400;REZE;;44143;47.1919589;-1.5458437;;;0683934436;;;robin.cherrier@orange.fr;https://www.lesrobinsdesvagues.com/;Facebook||https://www.facebook.com/lesrobinsdesvagues##Instagram||https://www.instagram.com/lesrobinsdesvagues/;;;;;;;oui;;;;;Anglais##Espagnol##Français;;;;;;;;;;;;;;;;;non;09/04/2022||06/11/2022||début vacances de printemps||fin des vacances de la toussaint||09:00||20:00||||||09:00||20:00||||||09:00||20:00||||||09:00||20:00||||||09:00||20:00||||||09:00||20:00||||||09:00||20:00||||;;;;Tarif indiv. adulte||60,00||||##Tarif indiv. enfant||55,00||||##Formule famille||200,00||||famille de 4##Tarif groupe enfant||||||10% de remise ##Tarif groupe adulte||||||10% de remise;;Chèques bancaires et postaux##Espèces##Virement;47.1919589,-1.5458437;Loire-Atlantique
LES SECRETS;;;;;;44380;PORNICHET;;44132;47.25963;-2.3394;;;;06 81 16 98 90;;pornichet@les-secrets.fr;https://www.les-secrets.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Espèces;47.25963,-2.3394;Loire-Atlantique
LES TRAITS DU SILLON;Calèche;;;;;44260;SAVENAY;;44195;47.36112;-1.9443;;;06 15 61 44 44;;;attelagesavenay@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;||06 15 61 44 44||attelagesavenay@gmail.com;;;;;Chèques bancaires et postaux##Espèces;47.36112,-1.9443;Loire-Atlantique
LES TROTTES DE L'OUEST;Loueur de trottinettes##Loueur de vélos;;;4 bis Boulevard de l'Abreuvoir;;44350;GUERANDE;;44069;47.32921;-2.43202;;;;06 61 13 97 78;;lestrottesdelouest@gmail.com;http://www.lestrottesdelouest.com;;;Parking##Toilettes;;;;;oui;;;;;Anglais##Espagnol;;;;;;;;;;;;;;;;;;05/02/2022||06/03/2022||Sur réservation||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/04/2022||31/10/2022||Sur réservation hors saison||||09:30||19:30||||||09:30||19:30||||||09:30||19:30||||||09:30||19:30||||||09:30||19:30||||||09:30||19:30||||||09:30||19:30||||;;;;;;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces;47.32921,-2.43202;Loire-Atlantique
LES VÉLOS DU BOIS;Loueur de vélos;;;9 rue du Bois;;44510;LE POULIGUEN;;44135;47.27629;-2.42901;;;06 13 98 20 44;;;gedav7@hotmail.fr;https://lesvelosdubois.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.27629,-2.42901;Loire-Atlantique
LIAISON MARITIME PORNIC - NOIRMOUTIER;Activités sportives et ludiques;;;Port de la Noëveillard;;44210;PORNIC;;44131;47.10962;-2.11615;;;;02 40 82 04 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02/07/2022||31/08/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces;47.10962,-2.11615;Loire-Atlantique
LIAISON MARITIME PORNIC/NOIRMOUTIER - BATEAU L'EVASION III;Formules itinérantes;;;Départ Port de l'Herbaudière;;85330;PORNIC;;44131;47.02727;-2.29816;;;06 10 01 82 29;;;tomyteo@hotmail.fr;http://www.evasion-pornic-noirmoutier.fr;Facebook||https://m.facebook.com/pornicetnoexpress/?ref=bookmarks;;;;;;;oui;;Pédestre;Pêche en mer;;;;;;;;;;;;;;;;;;;;02/07/2022||28/08/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances;47.02727,-2.29816;
LIGUA FIVE;;;;43 Avenue des frères Lumière;;44250;SAINT-BREVIN-LES-PINS;;44154;47.23255;-2.1499;;;06 86 65 13 59;;;liguafive@orange.fr;https://www.ligua-five.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||||||10:00||23:00||||||10:00||23:00||||||10:00||23:00||||||10:00||23:00||||||10:00||23:00||||||10:00||23:00||||||10:00||23:00||||;;;;;;Cartes bancaires##Chèques bancaires et postaux##Espèces;47.23255,-2.1499;Loire-Atlantique
LOC.VAL DE LOIRE® POINT DE LOCATION/DÉPÔT;Activités sportives et ludiques;;Hôtel ibis Saint-Nazaire Trignac;5 Rue de la Fontaine au Brun;UNIQUEMENT SUR RÉSERVATION (Only with reservation);44570;TRIGNAC;;44210;47.3003213;-2.2082315;Transport en commun||Ligne Hélyce - Arrêt: Fontaine aux Bruns||;;06 21 24 68 39;02 38 84 11 78;;contact@loc-valdeloire.com;https://www.loc-valdeloire.com;;;;;;;;;Location de matériel;;Vélo;;;;;;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||||||Trekking confort##Tarif indiv. adulte||||||Trekking confort Pack+##Tarif indiv. adulte||||||Trekking prémium##Tarif indiv. adulte||||||Trekking prémium Pack+##Tarif indiv. adulte||||||Trekking électrique##Tarif indiv. adulte||||||Trekking électrique Pack+##Tarif indiv. enfant||||||Vélo enfant;non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Virement;47.3003213,-2.2082315;Loire-Atlantique
LOCATION D'UNE 4L SANS CHAUFFEUR;;;;;;;ANGERS;;49007;47.4711616;-0.5518257;;;06 59 99 84 47;;;contact@locactivites.com;https://locactivites.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.4711616,-0.5518257;Maine-et-Loire
LOCATION DE BATEAUX ELECTRIQUES;Bateaux promenade##Cale de mise à l'eau##Halte fluviale##Ponton##Port de plaisance;;Capitainerie;101 Quai Amiral Lalande;;72000;LE MANS;;72181;48.0017954;0.18924587;;;;02 43 80 96 02;;port@cenovia.fr;www.portdumans.com;Facebook||https://www.facebook.com/portdumans/##Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g187195-d12155024-Reviews-Port_du_Mans-Le_Mans_Sarthe_Pays_de_la_Loire.html;;Toilettes;non;;Vogue et Vague;;oui;;;;;Anglais##Français;;;;;;;;;;;;;;;;;non;;;;;Tarif groupe adulte||35,00||75,00||Bateau 7 personnes##Tarif groupe adulte||40,00||60,00||Offre Déjeuner/Vogue et Vague;non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Virement;48.0017954,0.18924587;Sarthe
LOCATION DE CANOE ET KAYAK;Activités sportives et ludiques;;;Place des Tilleuls;;72800;LUCHE-PRINGE;;72175;47.7016738;0.07405713;Route (nationale/départ.)||D13||0##Autoroute||A11 Le Mans||38##Aéroport/aérodrome||Le Mans||38##Gare SNCF||Le Mans||38##Gare routière||Le Mans||38;;06 37 92 82 56;02 43 45 45 30;;brossard.michel72@orange.fr;www.ville-luche-pringe.fr;;;;oui;Si tenus en laisse;;;oui;Location de matériel;;Canoé kayak;;Français;;;;;;;;;;;;;;sur la base de loisirs, vous pourrez naviguer sur le Loir en canoë et Kayak.;LUCHE-PRINGE;LUCHE-PRINGE;non;;;;;"Tarif indiv. adulte||||||canoë : 6€ l'heure ;15 € la 1/2  journée;25 € la journée;;kayak : 4 € l'heure ;10 € la 1/2 journée ;15 € la journée";;Chèques bancaires et postaux;47.7016738,0.07405713;Sarthe
LOCATION DE COURTS DE TENNIS EN INTÉRIEUR;Activités sportives et ludiques;;;SALLE DES SPORTS;Route des Moutiers;44760;LA BERNERIE-EN-RETZ;;44012;47.07648;-2.02741;;;;;;contact@atb-bernerie.fr;http://www.atb-bernerie.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces;47.07648,-2.02741;Loire-Atlantique
LOCATION DE KAYAK /ÉCOLE DE VOILE DE PREFAILLES;Activités sportives et ludiques;;;Pointe Saint-Gildas;;44770;PREFAILLES;;44136;47.13606;-2.24478;;;;02 40 64 77 77;;edv@prefailles.fr;;;;;;;;;;;;Canoé kayak;;;;;;;;;;;;;;;;;;;;;;;;;;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces;47.13606,-2.24478;Loire-Atlantique
